Zip,Address,List Price,List  Date,Approx Living Area,Approx Total SqFt,Cond,Beds Total,Baths Full,Baths Half,DOM,Close Price,Close Date,SP$/SQFT,Car Storage,Stories,Construction Materials,Foundation,Fencing,Pool Type
70115,3723 Carondelet  St ,"$1,650,000",01/03/2023,"3,706","4,884",EXCE,4,3,1,100,"$1,525,000",07/10/2023,$411.49,Three or More,2,Wood Siding,Raised,,Inground
70115,2035 Octavia  St ,"$1,400,000",12/12/2022,"3,144","3,660",VRGD,4,2,1,0,"$1,400,000",12/12/2022,$445.29,Off Street Parking,2,Siding,Raised,,
70118,332 Henry Clay  Ave ,"$925,000",06/27/2023,"2,071","2,278",VRGD,3,2,0,2,"$910,000",08/02/2023,$439.40,"Two, Driveway Only, Off Street Parking",1,Wood Siding,Raised,"Wood, Wrought Iron",None
70115,1010 Octavia  St ,"$849,000",04/20/2023,"1,900","2,025",VRGD,3,2,1,61,"$815,000",07/28/2023,$428.95,None,1,"Vinyl Siding, Wood Siding",Raised,,None
70115,5352 Perrier  St ,"$525,000",09/12/2022,"1,173","1,193",AVG,2,2,0,21,"$508,400",11/01/2022,$433.42,None,1,Wood Siding,Raised,,None
70118,2125 State  St ,"$1,595,000",04/03/2023,"3,560","5,189",EXCE,4,4,1,108,"$1,500,000",08/18/2023,$421.35,"Three or More, Attached, Garage",2,Wood Siding,Raised,,Inground
70115,1217 Jena  St ,"$725,000",03/31/2023,"1,615","1,615",EXCE,3,2,0,18,"$702,018",05/30/2023,$434.69,None,1,Wood Siding,Raised,,None
70118,1131 Henry Clay  Ave ,"$1,825,000",10/10/2022,"4,062","4,173",EXCE,5,4,1,197,"$1,725,000",05/26/2023,$424.67,"Two, Driveway Only, Off Street Parking",3,"Hardy Plank, Wood Siding",Raised,,None
70115,1464 Nashville  Ave ,"$1,299,000",01/24/2023,"2,877","2,877",VRGD,3,3,1,93,"$1,120,520",06/09/2023,$389.48,"Two, Garage",2,Brick,Raised,,
70118,7632 Hampson  St ,"$1,750,000",05/08/2023,"3,859","5,606",EXCE,4,3,1,14,"$1,674,900",06/16/2023,$434.02,"Three or More, Off Street Parking",2,Wood Siding,Raised,,"Heated, Salt Water"
70115,5212 Danneel  St ,"$975,000",06/06/2023,"2,150","2,726",EXCE,3,3,0,1,"$930,000",07/20/2023,$432.56,"Three or More, Detached, Off Street Parking",2,Wood Siding,Raised,"Full, Privacy, Wood, Wrought Iron",
70115,819 Eleonore  St ,"$1,200,000",03/20/2023,"2,640","3,400",EXCE,3,2,1,15,"$1,125,700",05/18/2023,$426.40,"Driveway Only, Off Street Parking",2,"Hardy Plank, Wood Siding",Raised,,Heated
70115,5930 Laurel  St ,"$840,000",10/31/2022,"1,839","2,390",VRGD,2,2,0,1,"$900,000",11/29/2022,$489.40,"Three or More, Off Street Parking",1,Wood Siding,Raised,,None
70118,437 Walnut  St ,"$2,000,000",10/24/2022,"4,347","4,999",AVG,6,3,1,5,"$2,201,000",12/05/2022,$506.33,"Two, Off Street Parking",3,Wood Siding,Raised,,
70115,1004 Eleonore  St ,"$999,000",11/11/2022,"2,170","2,498",EXCE,3,3,1,121,"$950,000",04/14/2023,$437.79,Garage,1,Wood Siding,Raised,,None
70119,1405 Moss  St ,"$1,395,000",05/04/2023,"2,998","4,039",VRGD,4,3,0,8,"$1,409,000",06/12/2023,$469.98,"Three or More, Driveway Only, Off Street Parking",2,"Frame, Wood Siding","Raised, Slab",,None
70115,1200 Seventh  St ,"$975,000",03/10/2023,"2,095","2,822",VRGD,3,2,0,2,"$1,035,400",04/17/2023,$494.22,"One, Carport, Off Street Parking",1,"Frame, Wood Siding",Raised,,None
70115,811 Pleasant  St #811 ,"$445,000",10/05/2022,953,953,EXCE,2,2,0,9,"$438,000",11/17/2022,$459.60,"One, Off Street Parking",1,Wood Siding,Raised,,
70118,1327 Webster  St ,"$1,685,000",10/18/2022,"3,602","5,651",VRGD,4,3,1,3,"$1,725,000",12/01/2022,$478.90,"Three or More, Carport, Off Street Parking",2,Wood Siding,Raised,,"Heated, Salt Water"
70118,527 Webster  St ,"$815,000",03/14/2023,"1,737","2,000",EXCE,3,2,0,4,"$820,000",04/18/2023,$472.08,Driveway Only,1,Wood Siding,Raised,,None
70115,2905 Prytania  St ,"$759,000",10/11/2022,"1,614","1,824",EXCE,2,2,0,5,"$773,000",11/10/2022,$478.93,"Two, Driveway Only, Off Street Parking",1,Wood Siding,Raised,,None
70115,5245 Coliseum  St ,"$835,000",09/13/2022,"1,763","1,931",EXCE,3,2,0,12,"$840,000",11/30/2022,$476.46,None,1,Wood Siding,Raised,,None
70115,5244 Camp  St ,"$384,900",08/19/2022,812,812,VRGD,2,1,0,60,"$345,000",11/04/2022,$424.88,"One, Driveway Only",1,Wood Siding,Raised,,None
70118,27 Newcomb  Blvd ,"$1,250,000",08/26/2022,"2,630","5,575",VRGD,4,3,1,6,"$1,220,000",10/07/2022,$463.88,Driveway Only,3,Stucco,Slab,,None
70115,1326 Joseph  St ,"$1,490,000",05/16/2023,"3,130","3,691",EXCE,4,3,1,4,"$1,400,000",07/14/2023,$447.28,"Three or More, Driveway Only, Off Street Parking",2,"Hardy Plank, Wood Siding",Raised,,None
70118,1707 Palmer  Ave ,"$3,385,000",02/08/2023,"7,100","7,100",EXCE,5,6,1,44,"$3,150,000",04/14/2023,$443.66,"Three or More, Driveway Only",3,"Frame, Wood Siding",Raised,,
70115,2414 Valmont  St ,"$630,000",08/30/2022,"1,320","1,480",EXCE,2,2,0,4,"$615,000",10/04/2022,$465.91,"Three or More, Off Street Parking",1,Wood Siding,Raised,,
70118,18 Audubon  Pl ,"$4,500,000",04/09/2021,"9,364","19,550",VRGD,7,5,1,717,"$4,000,000",04/20/2023,$427.17,Three or More,3,"Concrete, Stucco","Raised, Slab",,Inground
70115,3528 Camp  St ,"$1,565,000",03/23/2023,"3,217","3,535",EXCE,3,2,1,66,"$1,547,000",07/26/2023,$480.88,Off Street Parking,1,Wood Siding,Raised,,Inground
70115,1202 Octavia  St ,"$1,495,000",06/03/2023,"3,055","3,226",VRGD,4,3,0,0,"$1,495,000",07/03/2023,$489.36,"Two, Carport, Off Street Parking",2,"Frame, Wood Siding",Raised,"Brick, Privacy, Wrought Iron",
70118,6027 Chestnut  St ,"$2,500,000",02/24/2023,"5,103","8,023",EXCE,4,3,1,2,"$2,475,000",04/03/2023,$485.01,"Three or More, Off Street Parking",3,Hardy Plank,Raised,,"Inground, Salt Water"
70118,582 Audubon  St ,"$3,950,000",09/12/2022,"8,061","9,557",EXCE,6,6,1,94,"$3,300,000",02/10/2023,$409.38,"Two, Off Street Parking",3,"Hardy Plank, Siding",Raised,,"Inground, Salt Water"
70115,1136 Arabella  St ,"$799,000",04/02/2023,"1,625","1,750",EXCE,2,2,1,9,"$770,955",05/26/2023,$474.43,None,1,Wood Siding,Raised,,
70115,1409 Octavia  St ,"$1,395,000",01/31/2023,"2,831","3,220",EXCE,4,3,1,33,"$1,375,000",04/03/2023,$485.69,Driveway Only,2,Wood Siding,Raised,,Heated
70115,17 Richmond  Pl ,"$2,470,000",03/28/2023,"4,984","7,080",EXCE,5,3,1,79,"$2,350,000",07/20/2023,$471.51,"Three or More, Off Street Parking",3,Wood Siding,Raised,,Inground
70115,1925 Upperline  St ,"$765,000",04/20/2023,"1,543","1,795",EXCE,3,2,0,4,"$725,000",05/19/2023,$469.86,One,2,Wood Siding,Raised,,None
70118,1518 State  St ,"$2,225,000",10/27/2022,"4,397","4,429",EXCE,5,4,2,66,"$2,075,000",04/06/2023,$471.91,"Three or More, Driveway Only",2,Frame,Raised,,"Heated, Inground"
